
54.0;76.25;[70];[-106.84878765305837];[79.348539996041]

54.0;76.375;[70];[-97.07250820657114];[65.45580452822898]

54.0;76.375;[70];[-97.07250820657114];[65.45580452822898]

54.0;76.375;[70];[-97.07250820657114];[65.45580452822898]

54.0;76.375;[70];[-97.07250820657114];[65.45580452822898]

54.0;76.375;[70];[-97.07250820657114];[65.45580452822898]

54.0;76.375;[70];[-97.07250820657114];[65.45580452822898]

54.0;76.375;[70];[-97.07250820657114];[65.45580452822898]

54.0;76.375;[70];[-97.07250820657114];[65.45580452822898]

54.0;76.5625;[70];[-87.2901689116084];[53.104694436523346]

54.0;76.5625;[70];[-87.2901689116084];[53.104694436523346]

54.0;76.5625;[70];[-87.2901689116084];[53.104694436523346]

54.0;76.5625;[70];[-87.2901689116084];[53.104694436523346]

54.0;76.5625;[70];[-87.2901689116084];[53.104694436523346]

54.0;76.5625;[70];[-87.2901689116084];[53.104694436523346]

54.0;76.5625;[70];[-87.2901689116084];[53.104694436523346]

54.0;76.8125;[70];[-78.48342996330626];[44.39841945819041]

54.0;76.8125;[70];[-78.48342996330626];[44.39841945819041]

54.0;76.8125;[70];[-78.48342996330626];[44.39841945819041]

54.0;76.8125;[70];[-78.48342996330626];[44.39841945819041]

54.0;76.8125;[70];[-78.48342996330626];[44.39841945819041]

54.0;76.8125;[70];[-78.48342996330626];[44.39841945819041]

54.0;76.8125;[70];[-78.48342996330626];[44.39841945819041]

54.0;77.0625;[70];[-71.80062716580161];[40.29734531979598]

54.0;77.0625;[70];[-71.80062716580161];[40.29734531979598]

54.0;77.0625;[70];[-71.80062716580161];[40.29734531979598]

54.0;77.0625;[70];[-71.80062716580161];[40.29734531979598]

54.0;77.0625;[70];[-71.80062716580161];[40.29734531979598]

54.0;77.0625;[70];[-71.80062716580161];[40.29734531979598]

54.0;77.0625;[70];[-71.80062716580161];[40.29734531979598]

54.0;77.3125;[70];[-65.91289188037746];[39.11624340593427]

54.0;77.3125;[70];[-65.91289188037746];[39.11624340593427]

54.0;77.3125;[70];[-65.91289188037746];[39.11624340593427]

