
84.0;70.1875;[70];[97.81426922770464];[81.64632330975559]

84.0;70.4375;[70];[162.85219652735123];[123.18045113750014]

84.0;70.75;[70];[597.1091669761812];[438.69745072247605]

84.0;70.875;[70];[-8881.276681165884];[-6629.933939639284]

84.0;70.9375;[70];[-965.9670954261313];[-731.273513779872]

84.0;71.0;[70];[-503.0067655216174];[-387.7797034585191]

83.75;72.9375;[70];[45.47011088535208];[-63.469031504357666]

82.875;78.0;[70];[132.28636526575903];[239.2830213198017]

81.75;82.0;[70];[-42.50200875559531];[-9.299816471796545]

81.125;82.625;[70];[-109.86422156598553];[71.66334672209301]

80.25;82.0625;[70];[-28.372613993706793];[75.54426284770226]

80.375;79.75;[70];[-76.6104090488036];[-79.03166211495768]

81.25;78.25;[70];[20.067955575365414];[-29.363666907074055]

82.0;78.75;[70];[-37.46470680937101];[56.24545340418961]

82.0;79.75;[70];[116.07381608641842];[-38.856904249092565]

82.0;80.75;[70];[56.1955426955882];[-21.935085556431567]

82.0;84.9375;[70];[-16.800338103727565];[46.06062043352498]

82.25;88.5625;[70];[167.63495358788825];[160.34856545437563]

83.0;90.625;[70];[353.3615375585001];[739.3244140257501]

83.875;89.25;[70];[120.40235618880129];[101.9194546035405]

84.0;86.0;[70];[118.82276256634015];[-94.34068159823192]

84.0;82.375;[70];[51.338733187881125];[58.8783166874539]

84.0;80.0625;[70];[307.3005471182061];[-225.57081503762447]

84.0;80.0;[70];[241.6512827310484];[-178.2658254848723]

84.0;80.4375;[70];[-457.3499309794035];[354.07403839953355]

84.0;81.25;[70];[-35.78215073231479];[62.74077866630376]

84.0;81.625;[70];[-4.060845418317352];[52.8098792330543]

84.0;80.9375;[70];[-78.79710103573812];[85.3158307364164]

84.0;80.25;[70];[1649.5457223821466];[-1221.275738581945]

84.0;80.0;[70];[241.6512827310484];[-178.2658254848723]

84.0;80.0;[70];[241.6512827310484];[-178.2658254848723]

84.0;80.0;[70];[241.6512827310484];[-178.2658254848723]

81.25;80.0;[70];[699.9811145452906];[294.4976605710624]

76.25;79.625;[70];[73.20856957606307];[-62.286949074689474]

74.0;78.625;[70];[-7.607039358537031];[-88.08164797098307]

74.5;78.0;[70];[51.4537072970015];[-78.30716566762054]

75.375;78.1875;[70];[25.035850757247214];[-1.684782142578649]

77.875;78.6875;[70];[10.380594302538894];[-43.52057856230947]

80.125;79.4375;[70];[-54.73999429605974];[-70.00304707157608]

82.0;79.875;[70];[102.69417431619883];[-33.0807423512328]

82.75;80.9375;[70];[83.39804015670808];[-107.94981268632357]

83.5;84.0625;[70];[-375.4444742524749];[-528.0497763869133]

84.0;86.8125;[70];[-272.0745265844309];[218.343479389229]

84.0;89.875;[70];[-418.98962587432504];[-325.8076887584497]

83.25;90.4375;[70];[1480.5938611694164];[2388.217299554017]

82.375;92.625;[70];[72.89985663207531];[-46.66810998508249]

82.0;97.8125;[70];[-154.1979435238123];[117.62675419995058]

82.0;101.6875;[70];[123.42015331446709];[42.2308892788374]

82.0;101.4375;[70];[189.0074771181302];[75.19006232454103]

82.0;101.0625;[70];[-449.0559243440886];[-277.50860170928905]

82.0;101.0;[70];[-224.21912765949648];[-155.37141098386493]

82.0;101.0;[70];[-224.21912765949648];[-155.37141098386493]

82.0;101.0;[70];[-224.21912765949648];[-155.37141098386493]

82.0;101.0;[70];[-224.21912765949648];[-155.37141098386493]

82.0;100.9375;[70];[-136.5710348011781];[-108.18113427278118]

82.0;100.9375;[70];[-136.5710348011781];[-108.18113427278118]

82.0;101.0;[70];[-224.21912765949648];[-155.37141098386493]

82.0;101.0;[70];[-224.21912765949648];[-155.37141098386493]

82.0;101.0625;[70];[-449.0559243440886];[-277.50860170928905]

82.0;101.125;[70];[-2361.373707132109];[-1321.4897051665396]

82.0;101.4375;[70];[189.0074771181302];[75.19006232454103]

82.0;101.75;[70];[114.97228900227333];[38.36161414590072]

82.0;101.3125;[70];[289.9041304368183];[128.91850918175717]

82.0;100.375;[70];[15.67474530923998];[-31.60802635250309]

82.0;100.0;[70];[38.98129900292599];[-24.113138477537255]

82.0;100.0;[70];[38.98129900292599];[-24.113138477537255]

82.0;99.9375;[70];[41.934631244838954];[-23.487605085227845]

82.0;99.8125;[70];[47.45554350551335];[-22.582450524892717]

82.0;99.4375;[70];[62.732169394820275];[-22.122257088620913]

82.125;99.3125;[70];[66.28797872084861];[-30.311888647746514]

82.125;99.5625;[70];[58.07623024031298];[-30.248754177922628]

82.0;99.9375;[70];[41.934631244838954];[-23.487605085227845]

82.0;96.625;[70];[49.3895651811915];[22.353114453534523]

82.0;82.9375;[70];[110.64762618512343];[36.44807228382875]

82.0;71.5625;[70];[46.41304485470747];[22.725492222260616]

82.0;71.75;[70];[37.786508213807316];[24.3919763389586]

82.0;79.875;[70];[102.69417431619883];[-33.0807423512328]

82.0;89.0;[70];[146.08628480121294];[53.20318198649532]

82.0;89.1875;[70];[114.4993645393743];[38.14990791328]

82.0;89.1875;[70];[114.4993645393743];[38.14990791328]

82.0;90.125;[70];[58.193909923867736];[21.930858808485095]

